Year, NEDems, NEReps, SDems, SReps, MWDems, MWReps, WDems, WReps, ODems, OReps
1960,66,67,150,16,79,73,54,31,0,1
1961,63,70,147,19,63,89,52,32,0,1
1962,64,69,147,19,63,89,50,34,0,1
1963,63,63,138,24,62,87,56,38,0,1
1964,63,63,138,24,62,87,57,37,0,1
1965,80,46,138,27,81,68,64,30,0,1
1966,80,46,138,27,80,69,64,30,0,1
1967,75,50,124,41,57,91,53,41,0,1
1968,74,51,124,41,57,91,52,42,0,1
1969,72,54,119,46,60,89,51,44,0,1
1970,72,54,119,46,61,88,51,44,0,1
1971,70,56,118,48,68,81,54,41,0,1
1972,70,56,118,48,68,81,54,41,0,1
1973,66,57,111,56,70,76,57,45,2,1
1974,66,57,112,55,71,75,56,46,2,1
1975,81,41,120,47,83,61,66,35,2,1
1976,80,42,120,47,84,60,66,35,2,1
1977,82,40,122,45,83,62,64,38,2,1
1978,82,40,121,46,81,64,64,38,2,1
1979,79,43,120,47,78,67,58,44,1,2
1980,78,44,120,47,78,67,58,44,1,2
1981,66,56,107,60,68,77,48,54,3,1
1982,66,56,107,60,68,77,48,54,3,1
1983,67,47,121,54,72,65,55,56,3,1
1984,67,47,121,54,72,65,54,57,3,1
1985,63,50,112,64,74,63,52,59,3,1
1986,63,50,112,64,74,63,52,59,3,1
1987,64,49,119,56,74,63,55,56,3,1
1988,64,49,119,56,74,63,55,56,3,1
1989,65,48,117,58,78,59,55,56,3,1
1990,65,48,117,58,78,59,55,56,3,1
1991,67,46,118,57,81,56,58,53,3,1
1992,67,46,118,57,81,56,59,52,3,1
1993,61,45,109,73,75,54,65,54,4,0
1994,61,45,107,75,75,54,65,54,4,0
1995,56,50,85,97,58,71,48,71,3,1
1996,56,50,85,97,58,71,49,70,3,1
1997,62,44,76,106,62,67,51,68,4,0
1998,62,44,76,106,62,67,50,69,4,0
1999,65,41,75,107,62,67,53,66,4,0
2000,65,41,76,106,62,67,53,66,4,0
2001,63,43,76,106,63,66,60,59,3,1
2002,63,43,76,106,61,68,60,59,3,1
2003,59,42,81,106,52,72,62,62,3,1
2004,59,42,82,105,53,71,62,62,3,1
2005,61,40,70,117,53,71,64,60,3,1
2006,61,40,70,117,53,71,64,60,3,1
2007,74,27,77,110,64,60,69,55,3,1
2008,74,27,79,108,65,59,69,55,3,1
2009,82,19,84,103,71,53,79,45,5,0
2010,80,21,84,103,70,54,78,46,5,0
2011,66,35,61,126,47,77,71,53,5,0
2012,66,35,61,126,48,76,71,53,5,0
2013,65,31,63,131,47,71,79,49,5,0
